Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
08/05/2015,1.934,0.905,"0,65",0,1.355,46,0,0,0.168
09/05/2015,3.631,18.925,"14,11",4,611,316,61,60,2.248
10/05/2015,3.204,14.228,"10,57",1,602,226,14,77,1.719
11/05/2015,2.673,6.756,"5,02",8,749,190,23,4,0.962
12/05/2015,2.495,5.02,"3,73",1,876,171,0,0,0.736
13/05/2015,2.76,7.79,"5,79",15,726,172,34,18,1.094
14/05/2015,2.687,5.614,"4,17",2,782,216,13,1,0.983
15/05/2015,2.793,8.169,"6,07",14,801,218,8,7,1.092
16/05/2015,4.061,19.971,"14,84",18,532,247,101,118,2.7
17/05/2015,3.349,8.52,"6,33",12,606,186,46,73,1.766
18/05/2015,2.961,11.998,"8,91",20,936,189,18,51,1.371
19/05/2015,2.911,12.425,"9,23",14,827,186,18,54,1.351
20/05/2015,2.569,6.008,"4,46",8,783,214,15,2,0.939
21/05/2015,3.228,16.291,"12,1",18,616,237,48,52,1.766
22/05/2015,2.529,6.111,"4,54",8,820,190,14,5,0.882
23/05/2015,4.197,17.928,"13,32",17,533,262,79,132,2.88
24/05/2015,3.899,13.893,"10,32",6,641,222,33,140,2.502
25/05/2015,2.519,5.109,"3,8",8,861,200,0,0,0.847
26/05/2015,2.357,4.43,"3,29",6,1.269,156,0,0,0.644
27/05/2015,3.209,7.498,"5,57",18,692,196,64,50,1.676
28/05/2015,2.811,8.49,"6,31",14,771,212,8,13,1.148
29/05/2015,2.558,5.65,"4,2",8,789,208,0,0,0.89
30/05/2015,4.17,21.479,"15,98",16,503,230,55,153,2.794
31/05/2015,3.533,18.995,"14,11",12,660,269,86,43,2.092
